OBJECTID,state,FIPS,county,latitude,longitude,USFS_Acre_A1,Other_Acre_A1,USFS_BDT_A1,Other_BDT_A1,Total_BDT_A1,TotalBDT_A1_Yr,USFS_Acre_A2,Other_Acre_A2,USFS_BDT_A2,Other_BDT_A2,Total_BDT_A2,TotalBDT_A2_Yr,USFS_Acre_A3,Other_Acre_A3,USFS_BDT_A3,Other_BDT_A3,Total_BDT_A3,TotalBDT_A3_Yr,USFS_Acre_A4,Other_Acre_A4,USFS_BDT_A4,Other_BDT_A4,Total_BDT_A4,TotalBDT_A4_Yr,USFS_Acre_A5,Other_Acre_A5,USFS_BDT_A5,Other_BDT_A5,Total_BDT_A5,TotalBDT_A5_Yr,USFS_Acre_A6,Other_Acre_A6,USFS_BDT_A6,Other_BDT_A6,Total_BDT_A6,TotalBDT_A6_Yr,Total_Acreage,Total_BDT
2216,OR,41015,Curry,42.466671,-124.211407,45310.9,-999,1948115.7,-999,1948115.7,194811.6,25260.1,-999,1086042.7,-999,1086042.7,108604.3,46104.5,-999,1982233.9,-999,1982233.9,198223.4,96980.2,-999,4169602,-999,4169602,416960.2,54064.9,-999,2324485.1,-999,2324485.1,232448.5,98678.6,-999,4242626.1,-999,4242626.1,424262.6,366399.25,15753105.59
2975,WA,53041,Lewis,46.580071,-122.377444,80052.2,-999,4794188.7,-999,4794188.7,479418.9,36529.3,-999,2187678.5,-999,2187678.5,218767.8,53317.1,-999,3193071.6,-999,3193071.6,319307.2,59255.6,-999,3548718.2,-999,3548718.2,354871.8,27039.5,-999,1619346.9,-999,1619346.9,161934.7,39466,-999,2363551.4,-999,2363551.4,236355.1,295659.77,17706555.22
195,CA,6017,El Dorado,38.785532,-120.534398,105628.1,75271.1,3564773.9,1862419.7,5427193.6,542719.4,37662.6,26838.6,1271052.1,664062.4,1935114.5,193511.5,47120.4,33578.2,1590236.4,830820.6,2421057,242105.7,98252.2,70015,3315850.9,1732369.6,5048220.5,504822,35032.7,24964.5,1182296.3,617691.9,1799988.3,179998.8,43830.1,31233.5,1479192.5,772805.6,2251998.1,225199.8,629427.2,18883571.95
1625,MT,30053,Lincoln,48.542232,-115.404343,131623.7,33014.2,2493799,319691.7,2813490.7,281349.1,89029.7,22330.7,1686793.4,216237.9,1903031.3,190303.1,168214.9,42192.1,3187071.3,408565.5,3595636.8,359563.7,191322.8,47988.1,3624882.5,464690.5,4089573,408957.3,129409.8,32458.9,2451852.7,314314.4,2766167.1,276616.7,244510.2,61328.7,4632594.2,593873.8,5226468,522646.8,1193423.9,20394366.9
576,ID,16049,Idaho,45.849237,-115.467376,199469.6,18446,3378030.8,233594.4,3611625.3,361162.5,143692.5,13288,2433442.2,168275.1,2601717.3,260171.7,229062.3,21182.6,3879186.3,268249.8,4147436.2,414743.6,269364.8,24909.6,4561710.9,315447.1,4877158.1,487715.8,194043.1,17944.2,3286133.4,227239.6,3513373,351337.3,309327,28605.1,5238474,362246,5600720,560072,1469334.73,24352029.82
2225,OR,41033,Josephine,42.385382,-123.597245,43569.9,63112.6,1262883.8,2498613.5,3761497.2,376149.7,32713.3,47386.5,948203.3,1876018.7,2824222.1,282422.2,39116.4,56661.6,1133798.3,2243218.1,3377016.4,337701.6,70148.7,101613,2033276.6,4022834.4,6056111,605611.1,52669.4,76293.5,1526632.7,3020440.3,4547073,454707.3,62978.5,91226.6,1825445.6,3611641,5437086.5,543708.7,737490.06,26003006.23
2226,OR,41035,Klamath,42.683761,-121.646168,379844.4,304030.8,6777253,3843536.2,10620789.2,1062078.9,199231.3,159466.5,3554721.3,2015964.2,5570685.6,557068.6,257550.9,206146,4595270.2,2606083.5,7201353.7,720135.4,72691.3,58182.8,1296971.9,735542.6,2032514.5,203251.4,38127.2,30517.3,680271.7,385797.7,1066069.5,106606.9,49287.9,39450.4,879402.9,498729.6,1378132.6,137813.3,1794526.9,27869544.99
231,CA,6089,Shasta,40.760522,-122.04355,125229.9,229821.1,3497831.8,4494432.9,7992264.7,799226.5,55706.4,102232.1,1555952.3,1999273.8,3555226.1,355522.6,105711.3,194000.7,2952652.4,3793921.2,6746573.5,674657.4,74883.2,137425.2,2091583.6,2687516.9,4779100.5,477910,33310.5,61131.3,930406.2,1195497.2,2125903.4,212590.3,63211.7,116005.8,1765585,2268634.9,4034219.8,403422,1298669.16,29233288.01
2984,WA,53059,Skamania,46.024782,-121.953227,131874.1,-999,6661278.9,-999,6661278.9,666127.9,96375.3,-999,4868150.7,-999,4868150.7,486815.1,105060.6,-999,5306865.9,-999,5306865.9,530686.6,98596.4,-999,4980342.7,-999,4980342.7,498034.3,72055.5,-999,3639700.3,-999,3639700.3,363970,78549.1,-999,3967708.2,-999,3967708.2,396770.8,582511.01,29424046.74
218,CA,6063,Plumas,39.99517,-120.829516,251735.6,90183,6494905.7,2324802.7,8819708.3,881970.8,64437.6,23084.4,1662521.3,595087,2257608.3,225760.8,194029,69509.9,5006044.4,1791876,6797920.4,679792,190254.8,68157.8,4908668.3,1757020.9,6665689.2,666568.9,48700.1,17446.6,1256487.2,449750.1,1706237.3,170623.7,146641.7,52533.6,3783428.5,1354249.8,5137678.3,513767.8,1216713.95,31384841.8
239,CA,6105,Trinity,40.647724,-123.114404,63348.8,23871.8,2308232,655706.9,2963938.9,296393.9,37174.4,14008.4,1354518.7,384782.5,1739301.2,173930.1,101868.6,38387.2,3711772.5,1054415.2,4766187.6,476618.8,181449.1,68375.5,6611435.5,1878131.8,8489567.3,848956.7,106478.1,40124.2,3879728.2,1102126.9,4981855.2,498185.5,291780.7,109951.9,10631576,3020146.1,13651722.1,1365172.2,1076818.63,36592572.35
2223,OR,41029,Jackson,42.411782,-122.675797,94750.3,214540.3,4057852.1,5269824.7,9327676.8,932767.7,47580.4,107734.8,2037713.9,2646325,4684038.9,468403.9,74212.5,168037.1,3178282.9,4127551.6,7305834.5,730583.5,69636,157674.8,2982288.4,3873018.7,6855307.1,685530.7,34968.8,79178.9,1497602.8,1944897,3442499.8,344250,54541.9,123497.6,2335855.5,3033513.6,5369369.1,536936.9,1226353.35,36984726.28
2218,OR,41019,Douglas,43.285904,-123.15438,151707.3,-999,6956140.7,-999,6956140.7,695614.1,85597.4,-999,3924843.1,-999,3924843.1,392484.3,119672.6,-999,5487272.9,-999,5487272.9,548727.3,205938.2,-999,9442754.3,-999,9442754.3,944275.4,116195.9,-999,5327857.9,-999,5327857.9,532785.8,162452,-999,7448809.9,-999,7448809.9,744881,841563.38,38587678.84
233,CA,6093,Siskiyou,41.587986,-122.533287,376448.9,176949.5,10568563.5,2849647.1,13418210.6,1341821.1,190514.8,89551.3,5348581.2,1442160.9,6790742.1,679074.2,272798.2,128228.6,7658636.8,2065031.1,9723667.9,972366.8,271726.4,127724.8,7628546.3,2056917.7,9685464,968546.4,137516.4,64639.5,3860685.5,1040973.2,4901658.7,490165.9,196909.8,92557.3,5528118,1490570.2,7018688.2,701868.8,2125565.36,51538431.52
209,CA,6045,Mendocino,39.432388,-123.442881,17862.1,165134.9,577362.7,6865923.8,7443286.5,744328.7,11339,104828.7,366513.6,4358533.7,4725047.3,472504.7,19489.3,180178.1,629958.2,7491383.7,8121341.9,812134.2,28865.9,266865.4,933044.1,11095642.1,12028686.2,1202868.6,18324.3,169407.9,592302.5,7043586.7,7635889.2,763588.9,31495.5,291175.9,1018040.9,12106413.5,13124454.3,1312445.4,1304967.05,53078705.47
198,CA,6023,Humboldt,40.706673,-123.925818,28574.2,127814.8,1471175.4,7165952,8637127.4,863712.7,13796.5,61712.7,710326.6,3459931.5,4170258,417025.8,35030.7,156695,1803592.9,8785125.3,10588718.2,1058871.8,51167.2,228875.1,2634400.7,12831908.7,15466309.3,1546630.9,24705,110507.6,1271965.8,6195621.3,7467587.1,746758.7,62728.6,280590.2,3229653.2,15731325.8,18960979,1896097.9,1182197.59,65290979.06
2228,OR,41039,Lane,43.928276,-122.897678,252265.5,-999,15800374.3,-999,15800374.3,1580037.4,150796.3,-999,9444959.5,-999,9444959.5,944496,195285,-999,12231460.9,-999,12231460.9,1223146.1,212632.3,-999,13317990.6,-999,13317990.6,1331799.1,127104.8,-999,7961069.8,-999,7961069.8,796107,164603.9,-999,10309786.2,-999,10309786.2,1030978.6,1102687.64,69065641.31
